LAB,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,L,a,b,C,H,染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,標記,標準色片,單色光,revised,abort
F176NF003-0,9.72,9.1,8.42,8.13,8.39,9.25,10.87,13.11,15.5,16.92,16.87,15.88,14.5,13.23,12.32,11.65,10.95,10.35,10.04,10.04,10.1,10.02,9.87,10.04,11.01,13.05,16.35,20.9,26.37,32.37,38.34,41.52,-10.47,4.5,11.4,156.77,,,,,,,,,,,*,,0,0
F176NF003-11,13.31,10.97,9.5,8.87,9.01,9.54,10.99,13.1,16.16,17.9,17.51,16.5,15.53,14.65,13.93,13.28,12.68,12.17,11.8,11.51,11.19,10.92,10.84,11.18,12.47,14.73,17.79,20.45,23.71,25.65,28.61,43.45,-10.35,6.32,12.13,148.59,322-6,0.327,249-6,0.14,461-9,0.877,,,LF590071,,,FVF2429,0,0
F176NF003-12,13.5,10.78,9.47,8.8,8.95,9.48,10.88,12.97,15.98,17.61,17.23,16.25,15.33,14.48,13.78,13.19,12.68,12.2,11.88,11.65,11.34,11.08,10.99,11.35,12.64,14.92,18.0,20.67,23.95,25.9,28.92,43.38,-9.7,6.5,11.68,146.18,322-6,0.319,249-6,0.15,461-9,0.845,,,LF590071,,,FVF2429,0,0
F176NF006-0,5.86,5.25,5.05,4.97,4.93,4.97,5.0,5.0,5.05,5.08,5.08,5.03,4.92,4.78,4.66,4.51,4.41,4.35,4.35,4.35,4.33,4.25,4.19,4.25,4.52,5.37,7.05,9.91,14.08,18.3,23.86,25.74,-0.23,-1.72,1.73,262.24,,,,,,,,,,,*,,0,0
F176NF006-01,8.59,6.63,5.82,5.32,5.04,4.9,4.84,4.86,4.96,5.09,5.15,5.12,5.03,4.88,4.77,4.64,4.5,4.37,4.31,4.28,4.25,4.28,4.36,4.58,4.97,5.68,6.97,8.46,12.31,16.3,22.77,25.9,-0.1,-1.93,1.94,266.91,432,0.835,F4I,0.375,F6S,1.41,,,LF520019,,,FVF2429,0,0
F176NF006-02,8.3,6.46,5.57,5.11,4.87,4.74,4.69,4.72,4.83,4.96,5.03,5.01,4.92,4.78,4.67,4.52,4.39,4.26,4.19,4.16,4.12,4.15,4.23,4.43,4.81,5.49,6.75,8.2,11.96,15.9,22.33,25.54,-0.34,-1.74,1.77,258.99,432,0.85,F4I,0.363,F6S,1.45,,,LF520019,,,FVF2429,0,0
F17BNF004-0,10.2,9.6,9.05,8.65,8.38,8.24,8.12,7.97,7.79,7.56,7.19,6.74,6.24,5.69,5.13,4.61,4.17,3.81,3.52,3.33,3.23,3.19,3.17,3.21,3.36,3.71,4.72,6.71,10.24,14.86,21.1,26.7,-3.87,-13.45,13.99,253.96,,,,,,,,,,,*,,0,0
F17BNF004-26,13.42,11.8,10.96,10.33,9.93,9.59,9.28,9.0,8.65,8.24,7.71,7.09,6.48,5.88,5.33,4.8,4.31,3.9,3.57,3.38,3.23,3.16,3.14,3.26,3.58,4.1,5.2,6.99,10.37,13.68,19.77,27.39,-2.64,-16.69,16.9,261.02,432,0.21,249-6,0.061,F6S,1.33,,,LF520025,,,FVF2429,0,0
F17BNF004-27,12.68,10.74,9.93,9.36,9.0,8.68,8.38,8.13,7.82,7.44,6.95,6.39,5.82,5.26,4.77,4.3,3.83,3.48,3.19,3.01,2.88,2.82,2.81,2.92,3.2,3.67,4.67,6.3,9.5,12.67,18.51,25.85,-2.46,-16.37,16.55,261.46,432,0.24,249-6,0.064,F6S,1.5,,,LF520025,,,FVF2429,0,0
F17BNF010-0,21.13,21.69,21.49,21.5,22.06,23.22,24.95,26.83,28.17,28.12,26.79,24.8,22.5,20.21,18.14,16.38,14.74,13.18,11.8,10.88,10.35,10.03,9.83,9.94,10.78,12.68,15.93,20.67,26.69,33.73,40.97,48.6,-14.55,-12.85,19.41,221.45,,,,,,,,,,,*,,0,0
F17BNF010-04,25.66,23.7,22.15,21.58,21.44,21.53,23.63,26.45,28.85,29.38,27.75,25.26,22.72,19.99,17.6,15.62,14.0,12.44,11.2,10.52,10.28,10.19,10.09,10.13,10.51,12.05,15.31,18.95,26.17,32.02,39.83,48.33,-15.56,-12.55,19.99,218.89,227-1,0.08,244-4,0.0226,264-1,0.455,,,LF520019,,,FVF2429,0,0
L17ANF010-0,48.02,47.14,46.14,45.36,44.99,44.9,45.4,46.29,47.22,47.58,47.23,46.45,45.67,44.8,43.93,43.31,43.1,42.94,42.5,42.16,42.27,42.51,42.26,41.91,42.55,44.98,50.04,57.53,65.9,73.41,79.95,72.32,-1.53,-1.77,2.34,229.22,,,,,,,,,,,*,,0,0
L17ANF010-11,53.69,51.88,46.79,44.52,43.65,40.72,44.78,51.32,53.29,52.65,51.37,48.87,46.45,45.6,45.05,43.76,42.39,42.63,42.87,42.99,43.3,43.55,42.65,41.43,41.46,44.21,51.35,60.98,72.33,78.12,84.49,72.99,-3.62,-0.96,3.74,194.8,122,0.038,142,0.044,162,0.048,,,FVF3495,,,FVF2429,0,0
L17ANF010-12,53.81,52.35,47.29,45.26,44.38,41.53,45.52,51.89,53.86,53.24,51.97,49.51,47.07,46.22,45.68,44.36,43.03,43.22,43.46,43.57,43.86,44.12,43.24,42.02,42.07,44.85,52.07,61.76,73.14,78.88,85.07,73.39,-3.57,-1.03,3.71,196.04,122,0.036000000000000004,142,0.042,162,0.046,,,FVF3495,,,FVF2429,1,0
