LAB,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,L,a,b,C,H,染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,標記,標準色片,單色光,revised,abort
F17BNF010,25.66,23.7,22.15,21.58,21.44,21.53,23.63,26.45,28.85,29.38,27.75,25.26,22.72,19.99,17.6,15.62,14.0,12.44,11.2,10.52,10.28,10.19,10.09,10.13,10.51,12.05,15.31,18.95,26.17,32.02,39.83,48.33,-15.56,-12.55,19.99,218.89,227-1,0.08,244-4,0.0226,264-1,0.455,,,LF520019,,,FVF2429,0,0
L17ANF010,51.89,50.09,45.34,43.16,42.24,39.54,42.79,47.99,49.47,48.81,47.65,45.4,43.23,42.53,42.14,41.05,39.86,40.25,40.75,40.96,41.33,41.57,40.83,39.79,39.92,42.56,49.29,58.23,68.63,74.2,81.24,71.22,-2.13,-1.71,2.73,218.63,122,0.038,142,0.045,162,0.049,,,FVF3495,,,FVF2429,0,0
L17ANF013,13.26,11.05,9.91,9.2,8.83,8.67,8.83,9.2,9.85,10.77,11.6,12.26,12.8,13.21,13.42,13.46,13.15,12.63,12.11,11.69,11.24,10.93,10.81,11.12,12.3,14.45,17.58,20.45,24.17,26.5,29.69,41.61,-3.95,8.72,9.57,114.37,227-1,0.068,432,0.82,461-9,0.95,,,FVF4024,,,FVF2184,0,0
F17BNF018,7.36,5.68,4.88,4.63,4.5,4.42,4.4,4.4,4.41,4.42,4.45,4.47,4.47,4.42,4.38,4.28,4.11,3.96,3.84,3.77,3.71,3.69,3.73,3.9,4.26,4.96,6.24,8.22,11.92,15.48,22.08,24.36,-0.49,-1.72,1.79,254.1,F2I,1.403,F4I,0.21,F6S,1.44,,,FVF4024,,,FVF2184,0,0
L15ANN031	,29.29,31.55,34.0,35.09,34.6,32.56,29.13,25.73,22.04,18.79,16.14,13.64,11.6,9.85,8.42,7.11,5.97,5.05,4.41,4.0,3.64,3.44,3.35,3.5,3.98,4.92,6.32,7.57,9.02,9.95,11.54,36.36,6.08,-43.53,43.95,277.95,261-8,0.39,F6J,0.87,,,,,FVF2775,,,FVF2666,0,0
L162NN121,9.12,7.41,6.44,5.01,4.0,3.29,0.85,2.61,2.48,2.43,2.46,2.56,2.77,3.19,3.71,4.45,5.67,8.42,13.59,21.96,34.87,50.67,64.56,75.56,82.23,84.74,86.47,86.56,85.73,84.84,86.0,45.39,59.32,39.25,71.13,33.49,322-6,0.039,F24-3,1.0,F4S-5,1.66,,,FVF2775,,,FVF2666,0,0
L162NN122,24.12,24.61,24.61,23.59,21.87,19.57,17.41,15.37,13.09,10.85,8.84,7.29,6.38,5.45,4.63,4.31,4.16,4.01,3.72,3.71,4.0,4.67,5.24,6.02,7.46,10.07,14.4,18.9,27.85,34.91,43.72,29.97,16.63,-35.41,39.12,295.15,227-1,0.03,F51-5,1.54,F6J,0.53,,,FVF2775,,,FVF2666,0,0
L162NN123,52.62,54.91,56.02,55.32,52.88,49.45,45.28,41.6,37.86,34.41,31.08,28.56,27.23,25.39,23.45,23.02,24.05,24.37,23.89,24.4,28.74,38.56,50.7,61.66,67.84,70.27,71.04,71.1,70.21,69.77,71.72,61.92,24.96,-21.79,33.14,318.88,F51-5,0.262,261-8,0.0045,,,,,FVF2775,*,,FVF2666,0,0
L162NN125,32.84,35.05,38.5,41.29,44.0,47.24,49.96,50.33,47.99,44.17,40.0,35.62,31.58,27.57,23.88,20.38,17.36,14.76,12.58,10.78,9.17,7.8,6.77,6.11,5.77,5.52,5.32,5.24,5.11,5.23,5.94,54.61,-19.14,-31.96,37.25,239.09,227-1,0.0028,F6C-5,2.1,,,,,FVF2775,,,FVF2666,0,0
L162NN130,39.78,42.33,44.45,44.87,43.36,40.12,35.9,32.09,28.14,24.67,21.7,19.04,17.0,15.06,13.34,11.92,10.78,9.62,8.73,8.15,7.8,7.67,7.73,8.29,9.96,13.04,18.01,23.17,33.65,42.14,52.63,44.69,7.16,-39.89,40.53,280.18,F51-5,0.13,F6J,0.36,,,,,FVF2775,,,FVF2666,0,0
