400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,L,a,b,C,H,染料_1,濃度_1,布號,revised,abort
16.53,16.83,17.27,17.61,17.76,17.54,16.69,15.75,14.42,12.81,11.0,9.12,7.42,5.89,4.72,3.89,3.33,2.85,2.52,2.39,2.34,2.32,2.32,2.33,2.42,2.66,3.41,4.53,8.01,10.77,15.31,28.41,0.31,-33.13,33.13,270.54,264-1,3.0,FVF2429,0,0
12.84,12.28,11.92,11.65,11.36,11.05,10.6,10.01,9.07,8.07,7.11,6.14,5.32,4.64,4.05,3.56,3.18,2.88,2.63,2.5,2.42,2.36,2.36,2.41,2.56,2.84,3.26,3.86,6.03,8.29,12.51,24.83,0.8,-24.42,24.44,271.88,F6S,3.0,FVF2429,0,0
25.68,29.05,31.74,33.82,35.92,38.81,39.91,38.94,36.01,32.75,29.6,26.35,23.33,20.39,17.67,15.05,12.71,10.63,8.91,7.52,6.34,5.26,4.47,3.96,3.58,3.34,3.15,2.96,2.92,3.05,3.34,47.82,-15.49,-32.64,36.13,244.61,261-8,3.0,FVF2429,0,0
29.61,30.33,28.11,24.46,20.65,16.87,13.94,11.89,9.56,8.12,7.44,6.44,5.76,5.99,6.67,6.69,6.77,9.05,15.55,25.91,38.76,50.29,57.43,62.15,64.91,66.42,68.42,69.72,71.48,71.95,74.03,48.1,54.28,-0.89,54.29,359.06,142,3.0,FVF2429,0,0
3.21,2.83,2.7,2.65,2.68,2.88,3.49,4.91,9.04,16.45,26.15,35.93,43.93,50.22,55.16,59.61,63.23,66.46,69.57,72.19,74.55,76.6,78.03,79.32,80.41,81.61,82.74,83.48,84.69,84.97,85.59,78.73,8.16,88.68,89.05,84.74,327,3.0,FVF2429,0,0
2.86,2.27,2.17,2.1,2.09,2.22,2.53,3.63,8.66,20.2,36.25,51.45,61.49,67.36,70.93,73.74,75.73,77.16,78.48,79.53,80.48,81.21,81.77,82.43,83.03,83.8,84.54,85.04,85.9,86.06,86.43,84.38,-1.44,98.73,98.74,90.84,322-6,3.0,FVF2429,0,0
4.52,3.61,3.23,2.97,2.8,2.75,2.81,2.94,3.24,3.76,4.48,5.34,6.42,7.93,9.93,12.59,15.83,19.69,24.17,28.95,34.28,40.19,46.01,51.98,57.75,62.98,67.6,71.27,75.1,76.45,78.36,49.34,37.37,50.17,62.56,53.31,432,3.0,FVF2429,0,0
16.56,16.16,15.65,14.95,14.27,13.56,12.77,12.04,11.1,10.12,9.09,7.98,6.98,6.14,5.42,4.77,4.21,3.76,3.41,3.22,3.07,2.93,2.91,3.03,3.38,4.18,5.49,7.15,9.61,10.89,13.09,28.47,-0.26,-25.32,25.32,270.59,461-9,3.0,FVF2429,0,0
10.81,11.12,11.94,13.72,15.65,16.95,17.2,17.06,16.2,14.94,13.37,11.42,9.38,7.45,5.85,4.58,3.69,3.08,2.68,2.46,2.33,2.24,2.23,2.26,2.36,2.52,2.84,3.27,4.55,5.86,8.22,30.42,-9.88,-27.57,29.28,250.28,462-9,3.0,FVF2429,0,0
28.8,32.51,36.34,39.74,42.74,46.16,48.06,47.49,44.67,41.0,37.21,33.2,29.42,25.66,22.21,18.93,16.0,13.44,11.35,9.67,8.22,6.93,6.05,5.55,5.29,5.18,5.12,5.0,5.0,5.15,5.86,52.88,-17.96,-32.76,37.36,241.26,F6C-5,3.0,FVF2429,0,0
