染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,delta_lab
264-1,0.3722,322-6,0.3522,F4U-7,0.1608,,,FVF2184,0.0055
249-6,0.2280,264-1,0.4359,327,0.4765,,,FVF2184,0.0064
227-1,0.5512,244-4,0.3621,264-1,0.5790,,,FVF2184,0.0104
327,0.3513,F4U-7,0.1081,F6S,0.5223,,,FVF2184,0.0112
327,0.3985,461-9,0.6227,F4U-7,0.0774,,,FVF2184,0.0165
249-6,0.1359,322-6,0.3442,461-9,0.5984,,,FVF2184,0.0184
227-1,0.4383,264-1,0.4700,F4U-7,0.1795,,,FVF2184,0.0188
227-1,0.4035,249-6,0.1354,461-9,0.6866,,,FVF2184,0.0213
227-1,0.3885,461-9,0.6791,F4U-7,0.1198,,,FVF2184,0.0249
244-4,0.2446,327,0.4343,F6S,0.6996,,,FVF2184,0.0286
