染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,delta_lab
228-1,0.2375,228-9,0.1314,327,1.7513,,,FVF2429,3.8018
228-9,0.2006,322-6,1.5562,F24-3,0.3447,,,FVF2429,3.8652
228-1,0.2780,327,1.7858,432,0.0452,,,FVF2429,4.5794
227-1,1.0591,228-9,0.0193,F24-3,1.1992,,,FVF2429,4.8057
228-1,0.1180,228-9,0.5784,322-6,2.6183,,,FVF2429,4.837
228-1,0.2290,327,1.8851,432,0.0902,,,FVF2429,5.7361
228-1,0.3925,322-6,3.0000,432,0.1855,,,FVF2429,7.0861
228-1,0.3908,322-6,2.9451,432,0.1757,,,FVF2429,7.2223
228-1,0.4982,322-6,2.3608,,,,,FVF2429,9.258
327,1.9184,432,0.2426,,,,,FVF2429,9.8862
