LAB,染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,delta_lab
L172NN086-A,227-1,0.1565,F6B-6,1.3838,F6S,0.8622,,,FVF2666,0.169
L16BNN025-A,227-1,0.0658,249-6,0.2648,461-9,0.8958,,,FVF2666,0.02
L168NN028-A,432,0.3601,461-9,0.4130,F4I,1.9812,,,FVF2666,0.0355
L168NN027-A,264-1,0.0100,354-1,0.0417,,,,,FVF2666,6.8491
L16A1329-C,122,0.2622,142,0.1522,162,0.0382,,,FVF2666,0.0051
L1611132-C,432,0.6013,F4I,0.6159,F6S,2.8017,,,FVF2666,0.3177
L1720182-A,122,0.0653,142,0.1026,162,0.0834,,,FVF2666,0.0043
L177NN207-B,227-1,0.0351,F4I,0.9444,F6B-6,1.3289,,,FVF2666,0.0406
L177NN209-A,264-1,0.0100,322-6,0.7758,432,0.3413,,,FVF2666,3.0835
L173NN012-A,227-1,0.0654,461-9,0.8489,F4I,0.3368,,,FVF2666,0.0269
L175NN003-A,322-6,1.0561,F6B-6,1.0424,F6C-5,1.5371,,,FVF2666,2.0151
L172NN049-A,261-8,0.0100,F51-5,0.2460,,,,,FVF2666,4.3522
L172NN102-C,227-1,0.0333,F4I,0.5689,F6B-6,2.3072,,,FVF2666,0.0168
L173NN070-B,432,0.5129,F4I,0.4976,F6S,2.0815,,,FVF2666,0.0333
L173NN066-A,228-9,0.2778,249-6,0.1915,264-1,0.2876,,,FVF2666,0.694
L173NN070-B,432,0.5116,F4I,0.4976,F6S,2.0764,,,FVF2666,0.0457
L173NN012-A,227-1,0.0654,461-9,0.8485,F4I,0.3370,,,FVF2666,0.0231
65N,F24-3,0.7275,F4S-9,3.0000,F4U-7,0.0100,,,FVF2666,0.9075
6CD,F24-3,1.7125,F4S-9,2.2860,,,,,FVF2666,16.6442
