LAB,染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,delta_lab
L172NN086-A,227-1,0.1425,F6B-6,1.3967,F6S,0.7512,,,FVF2666,0.0147
L16BNN025-A,227-1,0.0657,249-6,0.2022,461-9,0.7442,,,FVF2666,0.0173
L168NN028-A,432,0.3430,461-9,0.3973,F4I,2.1326,,,FVF2666,0.0429
L168NN027-A,264-1,0.0100,354-1,0.0169,,,,,FVF2666,7.5651
L16A1329-C,122,0.2883,142,0.1829,162,0.0595,,,FVF2666,0.0031
L1611132-C,432,0.5599,F4I,0.5956,F6S,2.5655,,,FVF2666,0.0487
L1720182-A,122,0.0681,142,0.1070,162,0.0902,,,FVF2666,0.0049
L177NN207-B,227-1,0.0333,F4I,0.9873,F6B-6,1.3418,,,FVF2666,0.322
L177NN209-A,264-1,0.0100,322-6,0.7201,432,0.3258,,,FVF2666,4.4536
L173NN012-A,227-1,0.0634,461-9,0.8016,F4I,0.3112,,,FVF2666,0.0193
L175NN003-A,322-6,0.9461,F6B-6,1.1628,F6C-5,0.8991,,,FVF2666,0.0376
L172NN049-A,261-8,0.0100,F51-5,0.2851,,,,,FVF2184,7.7723
L172NN102-C,227-1,0.0100,F4I,0.6463,F6B-6,2.8646,,,FVF2184,1.7538
L173NN070-B,432,0.5289,F4I,0.4962,F6S,2.0529,,,FVF2666,0.0346
L173NN066-A,228-9,0.2168,249-6,0.0992,264-1,0.2159,,,FVF2666,2.3336
L173NN070-B,432,0.5287,F4I,0.4963,F6S,2.0518,,,FVF2666,0.0373
L173NN012-A,227-1,0.0634,461-9,0.8017,F4I,0.3112,,,FVF2666,0.0205
65N,F24-3,0.6783,F4S-9,3.0000,F4U-7,0.0100,,,FVF2666,0.6696
6CD,F24-3,1.4684,F4S-9,1.7419,,,,,FVF2666,15.2581
